"","work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size","scale_index"
"571",2023,"SE","FT","Data Analyst",105500,"USD",105500,"US",0,"US","M",6.25695671430128
"572",2023,"SE","FT","Data Analyst",100000,"USD",100000,"US",100,"US","M",7.11850857775651
"573",2023,"SE","FT","Data Analyst",80000,"USD",80000,"US",100,"US","M",7.51390771069867
"576",2023,"SE","FT","Data Engineer",160000,"USD",160000,"CA",100,"CA","M",8.37299572052726
"577",2023,"SE","FT","Data Engineer",145000,"USD",145000,"CA",100,"CA","M",7.49861719491386
"588",2023,"SE","FT","Data Engineer",150000,"USD",150000,"US",0,"US","M",7.10943110601639
"589",2023,"SE","FT","Data Engineer",111000,"USD",111000,"US",0,"US","M",7.5667843117967
"594",2023,"SE","FT","Data Engineer",160000,"USD",160000,"US",100,"US","M",7.43850457104208
"595",2023,"SE","FT","Data Engineer",130000,"USD",130000,"US",100,"US","M",6.09557903222678
"600",2023,"SE","FT","Data Engineer",252000,"USD",252000,"US",0,"US","M",5.17772643648231
"601",2023,"SE","FT","Data Engineer",129000,"USD",129000,"US",0,"US","M",6.00931490632795
"604",2022,"SE","FT","Lead Data Scientist",164000,"EUR",172309,"IE",100,"IE","L",6.82278776124296
"608",2023,"SE","FT","Data Scientist",201036,"USD",201036,"US",0,"US","M",6.72018104449371
"609",2023,"SE","FT","Data Scientist",134024,"USD",134024,"US",0,"US","M",7.321141777689
"610",2023,"SE","FT","Data Analyst",165000,"USD",165000,"US",100,"US","M",6.61183645167337
"611",2023,"SE","FT","Data Analyst",140000,"USD",140000,"US",100,"US","M",6.77987622034803
"614",2023,"SE","FT","Data Scientist",172000,"USD",172000,"US",0,"US","M",6.45506717146092
"615",2023,"SE","FT","Data Scientist",115000,"USD",115000,"US",0,"US","M",8.7231079096682
"618",2023,"SE","FT","Data Engineer",163800,"USD",163800,"US",0,"US","M",6.56967907519766
"619",2023,"SE","FT","Data Engineer",126000,"USD",126000,"US",0,"US","M",6.03583754589932
"620",2023,"SE","FT","Data Scientist",237000,"USD",237000,"US",100,"US","M",7.82160954530437
"621",2023,"SE","FT","Data Scientist",145000,"USD",145000,"US",100,"US","M",5.64890956451876
"624",2023,"SE","FT","Data Engineer",139500,"USD",139500,"US",0,"US","M",6.46092064226848
"625",2023,"SE","FT","Data Engineer",109400,"USD",109400,"US",0,"US","M",5.76202332223342
"626",2023,"SE","FT","Data Scientist",258000,"USD",258000,"CA",0,"CA","M",7.40663860848449
"627",2023,"SE","FT","Data Scientist",190000,"USD",190000,"CA",0,"CA","M",8.34962693633814
"630",2023,"SE","FT","Data Engineer",205600,"USD",205600,"US",0,"US","L",6.92272306588192
"631",2023,"SE","FT","Data Engineer",105700,"USD",105700,"US",0,"US","L",6.46864909948822
"632",2023,"SE","FT","Data Engineer",252000,"USD",252000,"US",0,"US","M",5.93965119674168
"633",2023,"SE","FT","Data Engineer",129000,"USD",129000,"US",0,"US","M",8.28549945572469
"634",2023,"SE","FT","Data Scientist",239748,"USD",239748,"US",0,"US","M",7.09498156182685
"635",2023,"SE","FT","Data Scientist",159832,"USD",159832,"US",0,"US","M",7.19005711870666
"636",2023,"SE","FT","Data Scientist",186300,"USD",186300,"US",100,"US","M",6.27470724554101
"637",2023,"SE","FT","Data Scientist",102500,"USD",102500,"US",100,"US","M",6.03542424080172
"638",2023,"SE","FT","Data Engineer",165000,"USD",165000,"US",0,"US","M",7.43428757450717
"639",2023,"SE","FT","Data Engineer",132300,"USD",132300,"US",0,"US","M",7.62104376489546
"640",2023,"SE","FT","Data Scientist",190000,"USD",190000,"US",0,"US","M",5.88688408930701
"641",2023,"SE","FT","Data Scientist",126000,"USD",126000,"US",0,"US","M",7.82239365438646
"642",2023,"SE","FT","Data Architect",149040,"USD",149040,"US",100,"US","M",6.72759751318191
"643",2023,"SE","FT","Data Architect",113900,"USD",113900,"US",100,"US","M",6.26197209059716
"644",2023,"SE","FT","Data Engineer",153600,"USD",153600,"US",100,"US","M",7.41568316786932
"645",2023,"SE","FT","Data Engineer",106800,"USD",106800,"US",100,"US","M",5.86531463817298
"646",2023,"SE","FT","Data Engineer",172600,"USD",172600,"US",100,"US","M",5.9993266760318
"647",2023,"SE","FT","Data Engineer",107900,"USD",107900,"US",100,"US","M",8.56885140742298
"648",2023,"SE","FT","Data Analyst",180180,"USD",180180,"US",0,"US","M",7.87740966993339
"649",2023,"SE","FT","Data Analyst",106020,"USD",106020,"US",0,"US","M",6.57717518923864
"650",2023,"SE","FT","Data Architect",376080,"USD",376080,"US",100,"US","M",5.652913754565
"651",2023,"SE","FT","Data Architect",213120,"USD",213120,"US",100,"US","M",5.55959912485595
"652",2023,"SE","FT","Data Analyst",153600,"USD",153600,"US",0,"US","M",7.72769331314954
"653",2023,"SE","FT","Data Analyst",100500,"USD",100500,"US",0,"US","M",7.13064842327117
"654",2023,"SE","FT","Data Analyst",206500,"USD",206500,"US",100,"US","M",5.42205258616725
"655",2023,"SE","FT","Data Analyst",121600,"USD",121600,"US",100,"US","M",7.25284429696007
"656",2023,"SE","FT","Data Engineer",260000,"USD",260000,"US",0,"US","M",7.19066968073416
"657",2023,"SE","FT","Data Engineer",225000,"USD",225000,"US",0,"US","M",6.47820166457695
"660",2023,"SE","FT","Cloud Database Engineer",170000,"USD",170000,"US",100,"US","L",9.07602875343777
"661",2023,"SE","FT","Applied Machine Learning Scientist",90000,"USD",90000,"US",100,"US","L",6.52181924543894
"664",2023,"SE","FT","Data Engineer",275000,"USD",275000,"US",0,"US","M",5.4263501059692
"665",2023,"SE","FT","Data Engineer",160000,"USD",160000,"US",0,"US","M",7.5924917581494
"666",2023,"SE","FT","Data Analyst",115934,"USD",115934,"US",100,"US","M",6.16644299987553
"667",2023,"SE","FT","Data Analyst",81666,"USD",81666,"US",100,"US","M",6.60617412617366
"668",2023,"SE","FT","Data Scientist",175000,"USD",175000,"US",0,"US","M",6.31677301833597
"669",2023,"SE","FT","Data Scientist",120000,"USD",120000,"US",0,"US","M",6.72251532671962
"670",2023,"SE","FT","Machine Learning Engineer",150000,"USD",150000,"US",100,"US","M",6.52164798629312
"671",2023,"SE","FT","Machine Learning Engineer",120000,"USD",120000,"US",100,"US","M",6.40829857738431
"672",2023,"SE","FT","Research Engineer",200000,"USD",200000,"US",0,"US","M",5.82307614534813
"673",2023,"SE","FT","Research Engineer",175000,"USD",175000,"US",0,"US","M",7.92581659902005
"676",2023,"SE","FT","Data Architect",138000,"USD",138000,"GB",100,"GB","M",7.13606319602583
"677",2023,"SE","FT","Data Architect",92000,"USD",92000,"GB",100,"GB","M",6.67669733201881
"678",2023,"SE","FT","Data Manager",65000,"USD",65000,"CO",0,"CO","M",9.48954525750763
"679",2023,"SE","FT","Data Manager",48000,"USD",48000,"CO",0,"CO","M",7.24670334570971
"680",2023,"SE","FT","Data Analyst",110000,"USD",110000,"US",100,"US","M",6.24341696406732
"681",2023,"SE","FT","Data Analyst",75000,"USD",75000,"US",100,"US","M",8.49719571665583
"682",2023,"SE","FT","Analytics Engineer",130000,"USD",130000,"US",0,"US","M",7.68346114696542
"683",2023,"SE","FT","Analytics Engineer",87000,"USD",87000,"US",0,"US","M",8.00289513597083
"688",2023,"SE","FT","Data Science Manager",299500,"USD",299500,"US",0,"US","M",7.51677358382324
"689",2023,"SE","FT","Data Science Manager",245100,"USD",245100,"US",0,"US","M",6.80373785879107
"692",2023,"SE","FT","Data Engineer",147100,"USD",147100,"US",0,"US","M",7.42127785570957
"693",2023,"SE","FT","Data Engineer",90700,"USD",90700,"US",0,"US","M",6.83122026078831
"696",2023,"SE","FT","Data Engineer",168400,"USD",168400,"US",0,"US","M",6.52497745014998
"697",2023,"SE","FT","Data Engineer",105200,"USD",105200,"US",0,"US","M",6.44136996940534
"698",2023,"SE","FT","Data Scientist",210000,"USD",210000,"US",0,"US","M",7.99091439185943
"699",2023,"SE","FT","Data Scientist",160000,"USD",160000,"US",0,"US","M",6.95700820217098
"702",2023,"SE","FT","Applied Scientist",222200,"USD",222200,"US",0,"US","L",8.66546278341797
"703",2023,"SE","FT","Applied Scientist",136000,"USD",136000,"US",0,"US","L",6.72896709953937
"712",2023,"SE","FT","Data Analyst",185000,"USD",185000,"US",100,"US","M",9.61561739361171
"713",2023,"SE","FT","Data Analyst",120250,"USD",120250,"US",100,"US","M",7.28996021240693
"715",2023,"SE","FT","Data Scientist",205000,"USD",205000,"US",0,"US","M",6.98267891255544
"716",2023,"SE","FT","Data Scientist",140000,"USD",140000,"US",0,"US","M",6.56258118597758
"717",2023,"SE","FT","Data Scientist",297300,"USD",297300,"US",100,"US","M",7.40055466703882
"718",2023,"SE","FT","Data Scientist",198200,"USD",198200,"US",100,"US","M",8.83986352391111
"719",2023,"SE","FT","Research Scientist",141288,"USD",141288,"US",0,"US","M",7.04340439337897
"720",2023,"SE","FT","Research Scientist",94192,"USD",94192,"US",0,"US","M",8.70556868057888
"721",2023,"SE","FT","Data Infrastructure Engineer",184000,"USD",184000,"US",100,"US","M",7.31489906021192
"722",2023,"SE","FT","Data Infrastructure Engineer",143000,"USD",143000,"US",100,"US","M",7.72950604021702
"723",2023,"SE","FT","Data Analyst",70000,"USD",70000,"US",0,"US","M",7.67978196758233
"724",2023,"SE","FT","Data Analyst",55000,"USD",55000,"US",0,"US","M",6.4802666890636
"725",2023,"SE","FT","Analytics Engineer",275300,"USD",275300,"US",100,"US","M",7.47462757643357
"726",2023,"SE","FT","Analytics Engineer",183500,"USD",183500,"US",100,"US","M",7.8712606664916
"731",2023,"SE","FT","Data Architect",149040,"USD",149040,"US",100,"US","M",6.0035995735341
"732",2023,"SE","FT","Data Architect",113900,"USD",113900,"US",100,"US","M",7.55381310349572
"734",2023,"SE","FT","Data Analyst",180180,"USD",180180,"US",0,"US","M",5.70326052332763
"735",2023,"SE","FT","Data Analyst",106020,"USD",106020,"US",0,"US","M",8.80631155553953
"742",2023,"SE","FT","Data Engineer",139500,"USD",139500,"US",0,"US","M",8.01962487030556
"743",2023,"SE","FT","Data Engineer",109400,"USD",109400,"US",0,"US","M",8.79684264712326
"744",2023,"SE","FT","Data Scientist",105000,"USD",105000,"US",0,"US","M",5.95502177324448
"745",2023,"SE","FT","Data Scientist",70000,"USD",70000,"US",0,"US","M",6.47262809183704
"750",2023,"SE","FT","Data Engineer",146000,"USD",146000,"US",0,"US","M",6.68218055073291
"751",2023,"SE","FT","Data Engineer",75000,"USD",75000,"US",0,"US","M",5.94604905681694
"756",2023,"SE","FT","Data Engineer",160000,"USD",160000,"US",100,"US","M",7.13183757311102
"757",2023,"SE","FT","Data Engineer",130000,"USD",130000,"US",100,"US","M",8.52175607184509
"758",2023,"SE","FT","Data Analyst",169000,"USD",169000,"US",0,"US","M",7.25787236138411
"759",2023,"SE","FT","Data Analyst",110600,"USD",110600,"US",0,"US","M",6.15512615080634
"760",2023,"SE","FT","Data Operations Engineer",193000,"USD",193000,"US",100,"US","M",5.94453941260594
"761",2023,"SE","FT","Data Operations Engineer",136850,"USD",136850,"US",100,"US","M",7.13904578148182
"762",2023,"SE","FT","Machine Learning Engineer",139500,"USD",139500,"US",0,"US","M",7.54608151901242
"763",2023,"SE","FT","Machine Learning Engineer",109400,"USD",109400,"US",0,"US","M",5.96956684719853
"764",2023,"SE","FT","Data Engineer",276000,"USD",276000,"US",100,"US","M",6.85909684663372
"765",2023,"SE","FT","Data Engineer",178500,"USD",178500,"US",100,"US","M",8.94800536319435
"770",2023,"SE","FT","Machine Learning Engineer",161000,"GBP",195652,"GB",0,"GB","M",5.40620185837019
"771",2023,"SE","FT","Machine Learning Engineer",83300,"GBP",101228,"GB",0,"GB","M",8.40485708650505
"772",2023,"SE","FT","Data Engineer",112700,"GBP",136956,"GB",0,"GB","M",6.99769999374555
"773",2023,"SE","FT","Data Engineer",83300,"GBP",101228,"GB",0,"GB","M",7.3049044343258
"774",2023,"SE","FT","Data Engineer",252000,"USD",252000,"US",0,"US","M",7.92137523959579
"775",2023,"SE","FT","Data Engineer",129000,"USD",129000,"US",0,"US","M",7.12157925690708
"776",2022,"SE","FT","BI Developer",130000,"USD",130000,"US",100,"US","L",7.37982514349329
"778",2023,"SE","FT","Data Engineer",163800,"USD",163800,"US",0,"US","M",8.67069615362835
"779",2023,"SE","FT","Data Engineer",126000,"USD",126000,"US",0,"US","M",6.76869200282037
"780",2023,"SE","FT","ML Engineer",260000,"USD",260000,"CA",100,"CA","M",6.20237706715341
"781",2023,"SE","FT","ML Engineer",110000,"USD",110000,"CA",100,"CA","M",7.22219790459458
"782",2023,"SE","FT","Analytics Engineer",170000,"USD",170000,"US",100,"US","M",7.3658091910096
"783",2023,"SE","FT","Analytics Engineer",130000,"USD",130000,"US",100,"US","M",5.98037329713787
"784",2023,"SE","FT","Machine Learning Engineer",247500,"USD",247500,"US",0,"US","M",7.66434779156377
"785",2023,"SE","FT","Machine Learning Engineer",172200,"USD",172200,"US",0,"US","M",7.69640691361253
"786",2023,"SE","FT","Data Scientist",239748,"USD",239748,"US",0,"US","M",8.44816084799142
"787",2023,"SE","FT","Data Scientist",159832,"USD",159832,"US",0,"US","M",7.20169916153725
"788",2023,"SE","FT","Machine Learning Engineer",163800,"USD",163800,"US",0,"US","M",6.86142215192335
"789",2023,"SE","FT","Machine Learning Engineer",126000,"USD",126000,"US",0,"US","M",7.21657240770029
"792",2023,"SE","FT","Data Engineer",252000,"USD",252000,"US",0,"US","M",8.75465827749358
"793",2023,"SE","FT","Data Engineer",129000,"USD",129000,"US",0,"US","M",7.136027089182
"794",2023,"SE","FT","Data Science Manager",299500,"USD",299500,"US",0,"US","M",7.28200962476884
"795",2023,"SE","FT","Data Science Manager",245100,"USD",245100,"US",0,"US","M",5.60974461821219
"800",2023,"SE","FT","Data Architect",188500,"USD",188500,"US",100,"US","M",6.72965993040728
"801",2023,"SE","FT","Data Architect",117000,"USD",117000,"US",100,"US","M",6.89006444001148
"802",2023,"SE","FT","Data Analyst",250000,"USD",250000,"US",100,"US","M",7.59616983504667
"803",2023,"SE","FT","Data Analyst",138000,"USD",138000,"US",100,"US","M",7.74210128370215
"806",2023,"SE","FT","Deep Learning Researcher",115000,"EUR",123405,"DE",0,"DE","L",7.2881374481072
"807",2023,"SE","FT","Data Engineer",140000,"USD",140000,"US",0,"US","M",5.73179763553643
"808",2023,"SE","FT","Data Engineer",120000,"USD",120000,"US",0,"US","M",8.96129785044239
"809",2023,"SE","FT","BI Analyst",160000,"USD",160000,"US",0,"US","M",8.48808044453017
"810",2023,"SE","FT","BI Analyst",135000,"USD",135000,"US",0,"US","M",7.63181525473968
"815",2023,"SE","FT","Data Engineer",153600,"USD",153600,"US",100,"US","M",5.92258747882499
"816",2023,"SE","FT","Data Engineer",106800,"USD",106800,"US",100,"US","M",7.64182214439715
"821",2023,"SE","FT","Data Analyst",127000,"USD",127000,"US",100,"US","M",7.24270158530561
"822",2023,"SE","FT","Data Analyst",94000,"USD",94000,"US",100,"US","M",8.76368280243672
"823",2023,"SE","FT","Data Scientist",210550,"USD",210550,"US",0,"US","M",6.00433822715977
"824",2023,"SE","FT","Data Scientist",153300,"USD",153300,"US",0,"US","M",8.08369971277464
"827",2023,"SE","FT","Data Analyst",161500,"USD",161500,"US",100,"US","M",6.26549499600323
"828",2023,"SE","FT","Data Analyst",119500,"USD",119500,"US",100,"US","M",6.75142829852391
"829",2023,"SE","FT","Data Analyst",175000,"USD",175000,"US",0,"US","M",7.99252024886228
"830",2023,"SE","FT","Data Analyst",145000,"USD",145000,"US",0,"US","M",8.21508840769904
"831",2023,"SE","FT","Data Scientist",175000,"USD",175000,"US",0,"US","M",7.60600894656388
"832",2023,"SE","FT","Data Scientist",148750,"USD",148750,"US",0,"US","M",7.26141495567558
"833",2023,"SE","FT","Data Analytics Specialist",105000,"USD",105000,"US",0,"US","M",6.62425132637365
"834",2023,"SE","FT","Data Analytics Specialist",85000,"USD",85000,"US",0,"US","M",7.45798489098682
"835",2023,"SE","FT","Research Scientist",215000,"USD",215000,"US",0,"US","M",6.88708146118752
"836",2023,"SE","FT","Research Scientist",146300,"USD",146300,"US",0,"US","M",6.57992845772842
"840",2023,"SE","FT","Machine Learning Engineer",153400,"USD",153400,"US",0,"US","M",6.72647575729574
"841",2023,"SE","FT","Machine Learning Engineer",122700,"USD",122700,"US",0,"US","M",5.41662793844108
"844",2023,"SE","FT","Data Scientist",186300,"USD",186300,"US",100,"US","M",6.3691859860339
"845",2023,"SE","FT","Data Scientist",123900,"USD",123900,"US",100,"US","M",7.25915275305402
"848",2023,"SE","FT","Machine Learning Engineer",153400,"USD",153400,"US",0,"US","M",6.2622375783177
"849",2023,"SE","FT","Machine Learning Engineer",122700,"USD",122700,"US",0,"US","M",6.16300575255021
"853",2023,"SE","FT","Data Analyst",185900,"USD",185900,"US",0,"US","M",5.51586546045807
"854",2023,"SE","FT","Data Analyst",121700,"USD",121700,"US",0,"US","M",6.15227116645727
"855",2023,"SE","FT","Data Analyst",153600,"USD",153600,"US",0,"US","M",4.89440695017923
"856",2023,"SE","FT","Data Analyst",106800,"USD",106800,"US",0,"US","M",7.18762844104822
"857",2023,"SE","FL","Software Data Engineer",50000,"USD",50000,"NG",50,"AU","M",5.98375184779857
"859",2023,"SE","FT","Machine Learning Engineer",247500,"USD",247500,"US",0,"US","M",8.98377303699719
"860",2023,"SE","FT","Machine Learning Engineer",172200,"USD",172200,"US",0,"US","M",7.67559253538877
"863",2023,"SE","FT","Data Analyst",125000,"USD",125000,"US",0,"US","M",7.15350432458
"864",2023,"SE","FT","Data Analyst",110000,"USD",110000,"US",0,"US","M",7.32334999620224
"867",2023,"SE","FT","Data Scientist",149076,"USD",149076,"US",0,"US","M",7.92079924059887
"868",2023,"SE","FT","Data Scientist",82365,"USD",82365,"US",0,"US","M",5.92002915437777
"871",2023,"SE","FT","Machine Learning Engineer",139500,"USD",139500,"US",0,"US","M",9.17749291220117
"872",2023,"SE","FT","Machine Learning Engineer",109400,"USD",109400,"US",0,"US","M",5.77065302737034
"873",2023,"SE","FT","Data Engineer",139500,"USD",139500,"US",0,"US","M",7.19768973173017
"874",2023,"SE","FT","Data Engineer",109400,"USD",109400,"US",0,"US","M",6.90749053766071
"879",2023,"SE","FT","Data Engineer",252000,"USD",252000,"US",0,"US","M",6.78096235517368
"880",2023,"SE","FT","Data Engineer",129000,"USD",129000,"US",0,"US","M",7.44568553758957
"881",2023,"SE","FT","Data Analyst",95000,"USD",95000,"US",0,"US","M",7.46316025089877
"882",2023,"SE","FT","Data Analyst",85500,"USD",85500,"US",0,"US","M",7.64968900527811
"883",2023,"SE","FT","Data Analyst",185900,"USD",185900,"US",0,"US","M",6.8372231784584
"884",2023,"SE","FT","Data Analyst",121700,"USD",121700,"US",0,"US","M",7.96935945540989
"891",2023,"SE","FT","Data Scientist",201000,"USD",201000,"US",0,"US","M",5.41094271258522
"892",2023,"SE","FT","Data Scientist",122000,"USD",122000,"US",0,"US","M",6.84823493076122
"893",2023,"SE","FT","Data Engineer",252000,"USD",252000,"US",0,"US","M",6.8683491990701
"894",2023,"SE","FT","Data Engineer",129000,"USD",129000,"US",0,"US","M",7.91215623308757
"895",2023,"SE","FT","Data Analyst",120000,"USD",120000,"US",100,"US","M",7.34641429541942
"896",2023,"SE","FT","Data Analyst",75000,"USD",75000,"US",100,"US","M",6.59233740001429
"899",2023,"SE","FT","Data Scientist",185900,"USD",185900,"US",0,"US","M",6.66055254102226
"900",2023,"SE","FT","Data Scientist",129300,"USD",129300,"US",0,"US","M",8.23709226606955
"903",2023,"SE","FT","Data Scientist",201000,"USD",201000,"US",0,"US","M",8.37459761117788
"904",2023,"SE","FT","Data Scientist",122000,"USD",122000,"US",0,"US","M",6.72747384631457
"905",2023,"SE","FT","Machine Learning Engineer",204500,"USD",204500,"US",0,"US","M",7.51333895424514
"906",2023,"SE","FT","Machine Learning Engineer",142200,"USD",142200,"US",0,"US","M",7.42477855791665
"907",2023,"SE","FT","Data Manager",155000,"USD",155000,"US",0,"US","M",7.2650602362656
"908",2023,"SE","FT","Data Manager",140000,"USD",140000,"US",0,"US","M",6.71518248053639
"911",2023,"SE","FT","Data Engineer",121500,"USD",121500,"US",100,"US","M",5.15863790679732
"912",2023,"SE","FT","Data Engineer",78000,"USD",78000,"US",100,"US","M",7.55891583727681
"915",2023,"SE","FT","Data Scientist",190000,"USD",190000,"US",0,"US","M",6.50164915931648
"916",2023,"SE","FT","Data Scientist",136000,"USD",136000,"US",0,"US","M",6.30139104332006
"919",2023,"SE","FT","Data Analyst",180000,"USD",180000,"US",0,"US","M",8.37651155088633
"920",2023,"SE","FT","Data Analyst",110000,"USD",110000,"US",0,"US","M",5.26449089240045
"921",2023,"SE","FT","Data Scientist",275300,"USD",275300,"US",100,"US","M",8.08955917999029
"922",2023,"SE","FT","Data Scientist",183000,"USD",183000,"US",100,"US","M",7.39783179374541
"923",2023,"SE","FT","Data Engineer",170000,"USD",170000,"US",0,"US","M",6.95876385287763
"924",2023,"SE","FT","Data Engineer",140000,"USD",140000,"US",0,"US","M",7.73529465757014
"925",2023,"SE","FT","Data Engineer",154000,"USD",154000,"US",0,"US","M",6.41460269640133
"926",2023,"SE","FT","Data Engineer",116000,"USD",116000,"US",0,"US","M",7.3941588842314
"927",2023,"SE","FT","Data Engineer",160000,"USD",160000,"US",100,"US","M",6.3506621239421
"928",2023,"SE","FT","Data Engineer",130000,"USD",130000,"US",100,"US","M",7.65438845699814
"931",2023,"SE","FT","Data Scientist",175000,"USD",175000,"US",100,"US","M",7.15211502671915
"932",2023,"SE","FT","Data Scientist",160000,"USD",160000,"US",100,"US","M",6.19070065971199
"935",2023,"SE","FT","Data Engineer",153600,"USD",153600,"US",0,"US","M",7.04008394965797
"936",2023,"SE","FT","Data Engineer",106800,"USD",106800,"US",0,"US","M",6.8864288143234
"939",2023,"SE","FT","Data Scientist",225000,"USD",225000,"US",0,"US","M",8.58532034626794
"940",2023,"SE","FT","Data Scientist",156400,"USD",156400,"US",0,"US","M",7.94386460562615
"941",2023,"SE","FT","Analytics Engineer",150000,"USD",150000,"US",0,"US","M",8.46020170019132
"942",2023,"SE","FT","Analytics Engineer",120000,"USD",120000,"US",0,"US","M",7.05074206963622
"943",2023,"SE","FT","Machine Learning Engineer",163800,"USD",163800,"US",0,"US","M",7.0012905113187
"944",2023,"SE","FT","Machine Learning Engineer",126000,"USD",126000,"US",0,"US","M",6.89299834041119
"945",2023,"SE","FT","Data Analyst",145000,"USD",145000,"US",100,"US","M",8.25147004183766
"946",2023,"SE","FT","Data Analyst",90000,"USD",90000,"US",100,"US","M",5.80782733161721
"947",2023,"SE","FT","Machine Learning Engineer",204500,"USD",204500,"US",0,"US","M",8.15049945051296
"948",2023,"SE","FT","Machine Learning Engineer",142200,"USD",142200,"US",0,"US","M",6.39038863588115
"949",2023,"SE","FT","Data Analyst",95000,"USD",95000,"US",0,"US","M",8.32083068466033
"950",2023,"SE","FT","Data Analyst",85500,"USD",85500,"US",0,"US","M",5.23615764232837
"951",2023,"SE","FT","Data Engineer",167500,"USD",167500,"US",0,"US","M",6.56557364412876
"952",2023,"SE","FT","Data Engineer",106500,"USD",106500,"US",0,"US","M",7.85036042439154
"953",2023,"SE","FT","Data Engineer",163800,"USD",163800,"US",0,"US","M",8.22739169024388
"954",2023,"SE","FT","Data Engineer",126000,"USD",126000,"US",0,"US","M",8.03742730298295
"957",2023,"SE","FT","Research Scientist",250000,"USD",250000,"US",0,"US","M",8.07622623358318
"958",2023,"SE","FT","Research Scientist",200000,"USD",200000,"US",0,"US","M",7.77089417522794
"959",2023,"SE","FT","Data Scientist",260000,"USD",260000,"US",0,"US","M",6.62631004178179
"960",2023,"SE","FT","Data Scientist",186000,"USD",186000,"US",0,"US","M",6.58774744542499
"961",2023,"SE","FT","Data Engineer",160000,"USD",160000,"US",100,"US","M",6.79153280985511
"962",2023,"SE","FT","Data Engineer",130000,"USD",130000,"US",100,"US","M",6.69751955976536
"963",2023,"SE","FT","Research Scientist",200000,"USD",200000,"US",0,"US","M",6.67069775927424
"964",2023,"SE","FT","Research Scientist",150000,"USD",150000,"US",0,"US","M",7.30684000547702
"965",2023,"SE","FT","Data Scientist",45000,"EUR",48289,"ES",0,"ES","M",5.29527397054752
"966",2023,"SE","FT","Data Scientist",36000,"EUR",38631,"ES",0,"ES","M",6.54692726473518
"967",2023,"SE","FT","Data Scientist",150000,"USD",150000,"US",0,"US","M",6.55599247962628
"968",2023,"SE","FT","Data Scientist",120000,"USD",120000,"US",0,"US","M",7.03432376006221
"974",2023,"SE","FT","Head of Data",70000,"EUR",75116,"PT",100,"PT","L",7.79292750897773
"976",2023,"SE","FT","Data Analyst",175000,"USD",175000,"US",100,"US","M",5.62844161080814
"977",2023,"SE","FT","Data Analyst",130000,"USD",130000,"US",100,"US","M",5.14239347701026
"978",2023,"SE","FT","Data Analyst",122000,"USD",122000,"US",100,"US","M",6.36674379748575
"979",2023,"SE","FT","Data Analyst",93800,"USD",93800,"US",100,"US","M",5.38675065293113
"980",2023,"SE","FT","Data Science Manager",150000,"USD",150000,"MX",100,"MX","M",6.31200832748161
"981",2023,"SE","FT","Data Science Manager",90000,"USD",90000,"MX",100,"MX","M",7.00622364122287
"982",2023,"SE","FT","Data Analyst",165000,"USD",165000,"US",100,"US","M",7.14757064937832
"983",2023,"SE","FT","Data Analyst",112000,"USD",112000,"US",100,"US","M",7.74638106257687
"985",2023,"SE","FT","BI Data Analyst",67000,"EUR",71897,"DE",100,"DE","M",5.59938372877135
"987",2023,"SE","FT","Machine Learning Engineer",204500,"USD",204500,"US",0,"US","M",6.6970723179715
"988",2023,"SE","FT","Machine Learning Engineer",142200,"USD",142200,"US",0,"US","M",7.82578300791144
"989",2023,"SE","FT","Data Analyst",1300000,"INR",15806,"IN",100,"IN","S",7.4589995934087
"992",2023,"SE","FT","Data Engineer",185900,"USD",185900,"US",0,"US","M",8.19579097192701
"993",2023,"SE","FT","Data Engineer",129300,"USD",129300,"US",0,"US","M",8.06576905500167
"994",2023,"SE","FT","Data Analyst",185900,"USD",185900,"US",0,"US","M",7.18016378165399
"995",2023,"SE","FT","Data Analyst",121700,"USD",121700,"US",0,"US","M",6.20934494171529
"996",2023,"SE","FT","Machine Learning Engineer",204500,"USD",204500,"US",0,"US","M",5.8475189647672
"997",2023,"SE","FT","Machine Learning Engineer",142200,"USD",142200,"US",0,"US","M",4.49893684808744
"999",2023,"SE","FT","Data Science Consultant",1000000,"THB",29453,"TH",50,"TH","M",6.44613436968937
"1000",2023,"SE","FT","Data Analyst",180180,"USD",180180,"US",0,"US","M",6.65291657718942
"1001",2023,"SE","FT","Data Analyst",106020,"USD",106020,"US",0,"US","M",7.22001300498024
"1002",2023,"SE","FT","Data Scientist",136000,"USD",136000,"US",100,"US","M",7.07475390027177
"1003",2023,"SE","FT","Data Scientist",104000,"USD",104000,"US",100,"US","M",7.88035924655619
"1004",2023,"SE","FT","Data Analyst",125000,"USD",125000,"US",0,"US","M",7.40083671782157
"1005",2023,"SE","FT","Data Analyst",110000,"USD",110000,"US",0,"US","M",5.94920063564146
"1006",2023,"SE","FT","Machine Learning Engineer",153400,"USD",153400,"US",0,"US","M",7.06367310386253
"1007",2023,"SE","FT","Machine Learning Engineer",122700,"USD",122700,"US",0,"US","M",9.53079483076657
"1010",2023,"SE","FT","Data Analyst",152380,"USD",152380,"US",0,"US","M",6.13536561513756
"1011",2023,"SE","FT","Data Analyst",121904,"USD",121904,"US",0,"US","M",5.77274256722098
"1012",2023,"SE","FT","Data Scientist",185900,"USD",185900,"US",0,"US","M",6.51427299672677
"1013",2023,"SE","FT","Data Scientist",129300,"USD",129300,"US",0,"US","M",6.76420394232029
